"<ID>";"N0 =: Nhum";"N0 =: N-hum";"N0 =: (Qu P+V-inf W+V-n)";"<ENT>N";"Det =: <E>-Modif, Vsup =: (avoir+prendre)";"Det =: le, Vsup =: (avoir+prendre)";"Det =: un, Vsup =: (avoir+prendre)";"Det =: un-Modif, Vsup =: (avoir+prendre)";"Det =: des, Vsup =: (avoir+prendre)";"Det =: du, Vsup =: (avoir+prendre)";"Det =: le, Vsup =: perdre";"Det =: tout, Vsup =: perdre";"Det =: Poss0, Vsup =: perdre";"Det =: du, Vsup =: perdre";"N0 être de Det N";"N0 être sans Det N";"il y avoir Det N Loc N0";"N0hum avoir le N de V0-inf W";"N1nr donner Det N à N0";"N1nr valoir Det N à N0";"N1hum donner Det N à N0";"ADR";"Exemple Base1";"Exemple Autre1";"Exemple Autre2"
"156";"+";"-";"+";"maestria";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"-";"+";"+";"+";"+";"+";"-";"~";"~";"~"
"157";"+";"-";"-";"main";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"~";"~";"~"
"158";"+";"-";"-";"marotte";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"~";"~";"~"
"159";"+";"-";"-";"métier";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"~";"~";"~"
"160";"+";"-";"+";"métier";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"-";"+";"-";"+";"-";"-";"-";"~";"~";"~"
"161";"+";"-";"-";"mine";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"+";"+";"-";"-";"~";"~";"~"
"162";"-";"+";"-";"miroitement";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"~";"~";"~"
"163";"+";"-";"-";"moeurs";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"+";"+";"-";"-";"~";"~";"~"
"164";"+";"+";"+";"mordant";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"-";"~";"~";"~"
"165";"+";"-";"-";"mutisme";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"+";"-";"+";"-";"+";"-";"-";"-";"~";"~";"~"
"166";"+";"+";"-";"nasillement";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"+";"-";"+";"-";"+";"+";"-";"-";"~";"~";"~"
"167";"+";"+";"+";"négligé";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"+";"-";"+";"-";"+";"+";"+";"-";"~";"~";"~"
"168";"+";"+";"+";"nom";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"~";"~";"~"
"169";"-";"+";"+";"nuance";"-";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"+";"+";"-";"+";"+";"+";"-";"~";"~";"~"
"170";"+";"+";"-";"odeur";"-";"-";"+";"+";"+";"+";"-";"+";"+";"-";"+";"+";"+";"-";"+";"+";"-";"-";"~";"~";"~"
"171";"+";"-";"-";"odorat";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"-";"+";"-";"-";"+";"+";"-";"-";"~";"~";"~"
"172";"+";"-";"+";"onction";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"+";"+";"+";"-";"~";"~";"~"
"173";"-";"+";"-";"ondoiement";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"~";"~";"~"
"174";"-";"+";"-";"ordonnance";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"+";"+";"+";"+";"~";"~";"~"
"175";"-";"+";"-";"ordonnancement";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"+";"+";"~";"~";"~"
"176";"+";"-";"-";"ordre";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"+";"-";"-";"+";"-";"-";"-";"~";"~";"~"
"177";"-";"+";"-";"ordre";"-";"-";"-";"+";"-";"+";"-";"-";"+";"-";"+";"+";"+";"-";"+";"-";"+";"+";"~";"~";"~"
"178";"+";"-";"-";"ouïe";"-";"-";"-";"+";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"+";"+";"-";"-";"~";"~";"~"
"179";"+";"-";"-";"palais";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"-";"-";"-";"+";"+";"-";"-";"~";"~";"~"
"180";"+";"-";"+";"panache";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"-";"+";"+";"+";"+";"-";"+";"-";"~";"~";"~"
"181";"-";"+";"+";"parfum";"-";"-";"+";"+";"+";"+";"-";"+";"+";"-";"+";"+";"+";"-";"+";"+";"-";"-";"~";"~";"~"
"182";"+";"-";"-";"parole";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"~";"~";"~"
"183";"-";"-";"+";"pathos";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"-";"+";"-";"+";"-";"-";"-";"~";"~";"~"
"184";"-";"+";"-";"patine";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"+";"+";"+";"+";"~";"~";"~"
"185";"+";"-";"+";"pénétration";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"-";"+";"+";"+";"+";"-";"-";"~";"~";"~"
"186";"+";"-";"+";"persiflage";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"~";"~";"~"
"187";"+";"-";"+";"pesanteur";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"-";"+";"-";"+";"+";"-";"-";"~";"~";"~"
"188";"+";"+";"+";"pétillement";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"+";"+";"-";"-";"~";"~";"~"
"189";"+";"-";"+";"pétulance";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"-";"+";"+";"+";"+";"-";"-";"~";"~";"~"
"190";"+";"-";"+";"phrasé";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"+";"+";"+";"-";"~";"~";"~"
"191";"+";"-";"-";"physique";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"~";"~";"~"
"192";"+";"-";"-";"plastique";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"+";"+";"-";"-";"~";"~";"~"
"193";"+";"-";"-";"pleurnichement";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"~";"~";"~"
"194";"-";"+";"-";"pli";"-";"-";"+";"+";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"~";"~";"~"
"195";"+";"-";"-";"plumage";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"~";"~";"~"
"196";"+";"-";"-";"pochardise";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"+";"-";"+";"-";"+";"+";"-";"-";"~";"~";"~"
"197";"+";"-";"-";"poids";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"~";"~";"~"
"198";"+";"-";"-";"poitrine";"-";"-";"-";"+";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"+";"+";"-";"-";"~";"~";"~"
"199";"-";"+";"-";"poli";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"+";"+";"+";"+";"~";"~";"~"
"200";"-";"+";"-";"portance";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"-";"-";"+";"+";"+";"-";"~";"~";"~"
"201";"-";"+";"-";"portée";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"+";"+";"-";"-";"~";"~";"~"
"202";"+";"-";"-";"pose";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"~";"~";"~"
"203";"+";"-";"-";"posture";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"~";"~";"~"
"204";"-";"+";"-";"poussée";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"+";"+";"-";"+";"+";"-";"-";"~";"~";"~"
"205";"+";"-";"-";"pouvoir";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"+";"~";"~";"~"
"206";"-";"+";"-";"préfixe";"-";"-";"+";"+";"-";"-";"-";"+";"+";"-";"-";"+";"+";"-";"+";"-";"-";"-";"~";"~";"~"
"207";"-";"+";"-";"prégnance";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"+";"+";"-";"-";"~";"~";"~"
"208";"+";"+";"-";"prérogative";"-";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"+";"+";"~";"~";"~"
"209";"+";"-";"-";"prestance";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"~";"~";"~"
"210";"-";"+";"+";"propriété";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"+";"+";"+";"+";"+";"-";"-";"~";"~";"~"
"211";"+";"-";"+";"punch";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"+";"+";"+";"+";"-";"+";"-";"~";"~";"~"
"212";"+";"-";"-";"qualité";"-";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"+";"+";"+";"+";"+";"-";"-";"~";"~";"~"
"213";"+";"-";"-";"quant à soi";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"~";"~";"~"
"214";"+";"-";"-";"ramage";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"+";"+";"-";"-";"~";"~";"~"
"215";"+";"+";"-";"ramollissement";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"+";"-";"+";"+";"+";"+";"-";"-";"~";"~";"~"
"216";"+";"-";"+";"rectitude";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"-";"+";"+";"+";"+";"-";"-";"~";"~";"~"
"217";"-";"+";"-";"rectitude";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"+";"+";"+";"+";"~";"~";"~"
"218";"-";"+";"-";"reflet";"-";"-";"+";"+";"+";"-";"-";"+";"+";"-";"-";"+";"-";"-";"+";"-";"+";"-";"~";"~";"~"
"219";"+";"-";"-";"regard";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"~";"~";"~"
"220";"+";"+";"+";"registre";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"+";"+";"+";"-";"~";"~";"~"
"221";"+";"+";"-";"règle";"-";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"-";"+";"+";"+";"+";"+";"+";"~";"~";"~"
"222";"-";"+";"+";"relent";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"~";"~";"~"
"223";"-";"+";"+";"relief";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"+";"+";"-";"+";"+";"+";"-";"~";"~";"~"
"224";"-";"+";"-";"rendement";"-";"-";"-";"+";"+";"+";"-";"+";"+";"+";"+";"-";"-";"-";"+";"+";"-";"-";"~";"~";"~"
"225";"-";"+";"-";"renflement";"-";"-";"+";"+";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"~";"~";"~"
"226";"+";"-";"-";"reniflement";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"~";"~";"~"
"227";"+";"-";"-";"réserve";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"-";"+";"+";"+";"+";"-";"-";"~";"~";"~"
"228";"+";"-";"-";"ressort";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"-";"+";"-";"+";"+";"+";"-";"-";"~";"~";"~"
"229";"+";"-";"+";"retenue";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"+";"+";"+";"+";"+";"-";"-";"~";"~";"~"
"230";"+";"+";"-";"rictus";"-";"-";"+";"+";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"~";"~";"~"
"231";"+";"+";"+";"ride";"-";"-";"+";"+";"+";"-";"-";"+";"+";"-";"-";"+";"+";"-";"+";"+";"-";"-";"~";"~";"~"
"232";"-";"+";"+";"rituel";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"+";"+";"+";"+";"~";"~";"~"
"233";"+";"+";"-";"ronflement";"-";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"+";"-";"-";"~";"~";"~"
"234";"+";"+";"-";"ronronnement";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"+";"+";"-";"-";"~";"~";"~"
"235";"-";"+";"-";"roulis";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"-";"-";"+";"-";"+";"+";"+";"-";"~";"~";"~"
"236";"+";"+";"-";"salières";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"+";"+";"-";"-";"~";"~";"~"
"237";"-";"+";"-";"scintillation";"-";"-";"-";"+";"+";"-";"-";"+";"+";"-";"+";"-";"+";"-";"+";"+";"+";"-";"~";"~";"~"
"238";"-";"+";"-";"scintillement";"-";"-";"-";"+";"+";"-";"-";"+";"+";"-";"+";"-";"+";"-";"+";"+";"+";"-";"~";"~";"~"
"239";"+";"+";"-";"scoliose";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"+";"-";"-";"~";"~";"~"
"240";"+";"-";"+";"sens commun";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"-";"+";"+";"+";"+";"+";"-";"~";"~";"~"
"241";"-";"+";"-";"senteur";"-";"-";"-";"+";"+";"-";"-";"+";"+";"-";"+";"-";"+";"-";"+";"+";"-";"-";"~";"~";"~"
"242";"+";"-";"-";"sex appeal";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"-";"+";"-";"+";"+";"-";"-";"~";"~";"~"
"243";"-";"+";"-";"sibilance";"-";"-";"-";"+";"+";"-";"-";"+";"+";"-";"+";"-";"+";"-";"+";"+";"-";"-";"~";"~";"~"
"244";"-";"+";"-";"sifflement";"-";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"+";"-";"-";"~";"~";"~"
"245";"+";"-";"-";"silhouette";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"+";"+";"-";"-";"+";"+";"-";"-";"~";"~";"~"
"246";"+";"-";"-";"souffle";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"~";"~";"~"
"247";"-";"+";"+";"souffle";"-";"-";"-";"+";"-";"+";"-";"-";"+";"-";"+";"-";"+";"-";"+";"+";"+";"-";"~";"~";"~"
"248";"+";"-";"-";"sourire";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"~";"~";"~"
"249";"+";"+";"+";"standing";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"+";"-";"+";"+";"+";"+";"-";"~";"~";"~"
"250";"+";"+";"+";"style";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"-";"-";"-";"+";"+";"+";"+";"~";"~";"~"
"251";"-";"+";"-";"suffixe";"-";"-";"+";"+";"-";"-";"-";"+";"+";"-";"-";"+";"+";"-";"+";"-";"-";"-";"~";"~";"~"
"252";"+";"+";"-";"surnom";"-";"-";"+";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"+";"+";"+";"+";"~";"~";"~"
"253";"-";"+";"-";"suspense";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"+";"+";"-";"+";"+";"+";"-";"~";"~";"~"
"254";"+";"-";"+";"swing";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"+";"+";"+";"+";"+";"+";"-";"~";"~";"~"
"255";"-";"+";"-";"tangage";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"-";"-";"-";"+";"+";"+";"-";"~";"~";"~"
"256";"+";"-";"-";"tempérament";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"+";"-";"-";"+";"+";"-";"-";"~";"~";"~"
"257";"+";"-";"-";"tempo";"-";"+";"-";"+";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"~";"~";"~"
"258";"-";"+";"+";"tempo";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"+";"+";"+";"-";"+";"+";"+";"+";"~";"~";"~"
"259";"+";"+";"+";"tenue";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"-";"+";"+";"+";"+";"+";"-";"~";"~";"~"
"260";"-";"+";"-";"terminaison";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"~";"~";"~"
"261";"+";"+";"-";"tessiture";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"+";"-";"+";"-";"+";"+";"-";"-";"~";"~";"~"
"262";"-";"+";"-";"texture";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"+";"+";"+";"-";"~";"~";"~"
"263";"+";"+";"-";"timbre";"-";"-";"-";"+";"+";"-";"-";"+";"+";"-";"+";"+";"-";"-";"+";"+";"+";"-";"~";"~";"~"
"264";"+";"-";"-";"tonus";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"+";"+";"-";"+";"+";"-";"-";"~";"~";"~"
"265";"+";"+";"+";"tournure";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"+";"+";"+";"-";"~";"~";"~"
"266";"+";"-";"-";"toussotement";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"+";"-";"+";"-";"+";"+";"-";"-";"~";"~";"~"
"267";"+";"-";"-";"toux";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"+";"-";"+";"-";"+";"+";"-";"-";"~";"~";"~"
"268";"+";"+";"-";"trait";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"+";"+";"-";"-";"~";"~";"~"
"269";"+";"+";"-";"trait";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"+";"+";"+";"-";"~";"~";"~"
"270";"+";"-";"-";"travers";"-";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"-";"+";"+";"+";"+";"+";"-";"~";"~";"~"
"271";"+";"+";"-";"varice";"-";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"+";"-";"-";"+";"+";"-";"-";"~";"~";"~"
"272";"-";"+";"-";"velouté";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"-";"+";"-";"+";"+";"+";"-";"~";"~";"~"
"273";"+";"-";"-";"ventre";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"~";"~";"~"
"274";"+";"-";"+";"verdeur";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"-";"+";"-";"+";"+";"+";"-";"~";"~";"~"
"275";"-";"+";"-";"verdoiement";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"+";"+";"-";"-";"~";"~";"~"
"276";"-";"+";"-";"verdure";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"+";"+";"-";"-";"~";"~";"~"
"277";"+";"+";"-";"vergeture";"-";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"+";"-";"-";"+";"+";"-";"-";"~";"~";"~"
"278";"+";"-";"+";"vernis";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"+";"+";"-";"+";"+";"-";"-";"~";"~";"~"
"279";"-";"+";"-";"vernis";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"+";"+";"-";"-";"+";"+";"+";"+";"~";"~";"~"
"280";"+";"-";"-";"verve";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"+";"+";"+";"+";"+";"+";"-";"~";"~";"~"
"281";"-";"+";"-";"vitesse";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"-";"-";"+";"+";"+";"-";"~";"~";"~"
"282";"+";"-";"-";"vocabulaire";"-";"-";"-";"+";"-";"+";"-";"-";"+";"-";"+";"+";"+";"-";"+";"+";"+";"-";"~";"~";"~"
"283";"-";"+";"+";"vocabulaire";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"+";"+";"+";"-";"~";"~";"~"
"284";"-";"+";"-";"voie";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"~";"~";"~"
"285";"+";"-";"-";"voix";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"+";"-";"-";"+";"+";"-";"-";"~";"~";"~"
"286";"+";"-";"-";"volonté";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"+";"+";"+";"+";"-";"-";"-";"~";"~";"~"
"287";"+";"+";"-";"volume";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"-";"+";"-";"+";"+";"+";"-";"~";"~";"~"

