"<ID>";"<ENT>N";"Det =: un";"Det =: un-certain";"Det =: des";"Det =: un-de Dnum Nmes";"N1 et N0 être N";"Exemple Autre1";"Exemple Autre2";"Exemple Autre3";"Exemple Autre4";"Exemple Autre5";"Exemple Autre6";"Exemple Autre7";"Exemple Autre8";"Exemple Autre9"
"213";"prémices";"-";"-";"+";"-";"-";"Ce roman a eu des prémices déjà remarquables";"~";"~";"~";"~";"~";"~";"~";"~"
"214";"principe";"+";"+";"+";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"215";"problématique";"+";"+";"+";"-";"-";"Cette discipline a une problématique";"~";"~";"~";"~";"~";"~";"~";"~"
"216";"prodromes";"-";"-";"+";"-";"-";"~";"~";"Cette maladie a des prodromes";"~";"~";"~";"~";"~";"~"
"217";"produit";"+";"+";"-";"-";"-";"La division a un produit";"~";"~";"~";"~";"~";"~";"~";"~"
"218";"propriété";"-";"+";"+";"-";"-";"~";"Ce corps a une certaine propriété";"~";"~";"~";"~";"~";"~";"~"
"219";"prototype";"+";"+";"+";"-";"-";"Cette voiture a un prototype";"~";"~";"~";"~";"~";"~";"~";"~"
"220";"récession";"+";"+";"-";"+";"-";"L'économie (a+connaît) une récession";"~";"~";"~";"~";"~";"~";"~";"~"
"221";"récipiendaire";"+";"+";"+";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"222";"rection";"+";"+";"-";"-";"-";"Ce verbe a une rection";"~";"~";"~";"~";"~";"~";"~";"~"
"223";"recul";"-";"+";"+";"-";"-";"~";"Cette arme a un certain recul";"~";"~";"~";"~";"~";"~";"~"
"224";"référent";"+";"+";"+";"-";"-";"Ce mot a un référent";"~";"~";"~";"~";"~";"~";"~";"~"
"225";"reliquat";"+";"+";"-";"+";"-";"Cette somme a un reliquat";"~";"~";"~";"~";"~";"~";"~";"~"
"226";"réplique";"+";"+";"+";"-";"-";"Cet objet a une réplique";"~";"~";"~";"~";"~";"~";"~";"~"
"227";"résidu";"+";"+";"-";"-";"-";"(Ce texte+Cette opération) a un résidu";"~";"~";"~";"~";"~";"~";"~";"~"
"228";"reste";"+";"+";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"229";"restes";"-";"-";"+";"-";"-";"~";"~";"Le repas a des restes";"~";"~";"~";"~";"~";"~"
"230";"résultante";"+";"+";"-";"-";"-";"Ces deux forces ont une résultante";"~";"~";"~";"~";"~";"~";"~";"~"
"231";"résurgence";"+";"+";"+";"-";"-";"Cette affaire a une résurgence";"~";"~";"~";"~";"~";"~";"~";"~"
"232";"rétroaction";"+";"+";"-";"-";"-";"Ce mécanisme a une rétroaction";"~";"~";"~";"~";"~";"~";"~";"~"
"233";"riverain";"+";"+";"+";"-";"-";"~";"~";"Ce quartier a des riverains";"~";"~";"~";"~";"~";"~"
"234";"sens";"+";"+";"+";"-";"-";"Ce trajet a un sens";"~";"~";"~";"~";"~";"~";"~";"~"
"235";"séquelles";"-";"-";"+";"-";"-";"~";"~";"Cette affaire a des séquelles";"~";"~";"~";"~";"~";"~"
"236";"siège";"+";"+";"+";"-";"-";"L'intelligence a un siège";"~";"~";"~";"~";"~";"~";"~";"~"
"237";"signe";"+";"+";"+";"-";"-";"Cette maladie a un signe";"~";"~";"~";"~";"~";"~";"~";"~"
"238";"signifiant";"+";"+";"-";"-";"-";"Un mot a un signifiant";"~";"~";"~";"~";"~";"~";"~";"~"
"239";"signifié";"+";"+";"+";"-";"-";"Ce mot a un signifié";"~";"~";"~";"~";"~";"~";"~";"~"
"240";"sillage";"+";"+";"-";"-";"-";"Le bateau (a+laisse) un sillage";"~";"~";"~";"~";"~";"~";"~";"~"
"241";"sociologie";"+";"+";"-";"-";"-";"Ce groupe a une sociologie très simple";"~";"~";"~";"~";"~";"~";"~";"~"
"242";"somme";"+";"+";"-";"+";"-";"Ces nombres ont une somme";"~";"~";"~";"~";"~";"~";"~";"~"
"243";"source";"+";"+";"+";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"244";"stéréotype";"+";"+";"+";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"245";"stylistique";"+";"+";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"246";"suivi";"+";"+";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"247";"sujet";"+";"+";"+";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"248";"symbole";"+";"+";"+";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"249";"symbolique";"+";"+";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"250";"symétrique";"+";"+";"-";"-";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"251";"tectonique";"+";"+";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"252";"tectonique";"-";"+";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"253";"témoin";"+";"+";"+";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"254";"temporalité";"+";"+";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"255";"terminologie";"+";"+";"+";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"256";"terrain";"+";"+";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"257";"théâtre";"+";"-";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"258";"topographie";"+";"+";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"259";"toponymie";"+";"+";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"260";"tournant";"+";"+";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"261";"trajectoire";"+";"+";"+";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"262";"trajet";"+";"+";"+";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"263";"tripartition";"+";"+";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"264";"typologie";"+";"+";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"265";"valence";"+";"+";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"266";"valeur";"+";"+";"+";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"267";"variante";"+";"+";"+";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"268";"vertu";"+";"+";"+";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"269";"victime";"+";"+";"+";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"270";"voie";"+";"+";"+";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~"

